title	author	translator	publish	time	price	grade	commentnumber
遇见未知的自己	张德芬		 华夏出版社	2008	29.00	8.1	55317
一九八四·动物农场	[英] 乔治·奥威尔	 董乐山	 上海译文出版社	2003	23.00元	9.3	25083
牧羊少年奇幻之旅	[巴西]保罗·柯艾略	 丁文林	 南海出版公司	2009	25.00元	8.6	56705
福尔摩斯探案全集（上中下）	[英] 阿·柯南道尔	 丁钟华 等	 群众出版社	1981	68.00	9.2	49494
小时代1.0折纸时代	郭敬明		 长江文艺出版社	2008	29.80元	6.5	61412
洛丽塔	[美] 弗拉基米尔·纳博科夫	 主万	 上海译文出版社	2005	27.00元	7.7	55491
百年孤独	[哥伦比亚] 加西亚·马尔克斯	 黄锦炎	 上海译文出版社	1989	12.70元	8.9	48226
1Q84 BOOK 2                                   : 7月～9月	[日] 村上春树	 施小炜	 南海出版公司	2010	36.00元	8.4	51574
素年锦时	安妮宝贝		 作家出版社	2007	27.00元	7.8	52286
情书	[日] 岩井俊二	 穆晓芳	 天津人民出版社	2004	18.00元	8.6	49115
第一次的亲密接触	蔡智恒		 知识出版社	1999	12.80	7.4	53113
神雕侠侣	金庸		 生活·读书·新知三联书店	1994	76.8	8.8	46804
一座城池	韩寒		 二十一世纪出版社	2006	19.90元	7.4	52720
茶花女	小仲马	 王振孙	 外国文学出版社	1997	9.00元	8.2	50703
麦田里的守望者	[美国] J. D. 塞林格	 施咸荣	 译林出版社	1997	7.80元	7.9	52091
他的国	韩寒		 万卷出版公司	2009	25.00元	7.5	51100
彼岸花	安妮宝贝		 南海出版公司	2001	20.00元	7.8	48832
西决	笛安		 长江文艺出版社	2009	22.80元	7.9	48375
东方快车谋杀案	[英] 阿加莎·克里斯蒂	 陈尧光	 人民文学出版社	2006	18.00元	9.0	40412
挪威的森林	[日] 村上春树	 林少华	 上海译文出版社	2007	23.00元	8.5	50254
这些都是你给我的爱	文：安东尼		 长江文艺出版社	2010	24.80元	8.4	44745
这些人，那些事	吴念真		 译林出版社	2011	28.00元	8.8	43908
八月未央	安妮宝贝		 作家出版社	2001	16.00元	7.5	48528
当我谈跑步时我谈些什么	[日] 村上春树	 施小炜	 南海出版公司	2009	25.00	8.1	47150
明朝那些事儿（贰）                                   : 万国来朝	当年明月		 中国友谊出版公司	2007	24.80	8.9	43197
清醒纪	安妮宝贝		 天津人民出版社	2004	22.00元	7.9	45216
一个陌生女人的来信	[奥] 斯台芬·茨威格	 张玉书	 上海译文出版社	2007	20.00元	8.7	45787
蔡康永的说话之道	蔡康永 著		 沈阳出版社	2010	25.00元	7.1	50046
偷影子的人	(法)马克·李维	 段韵灵	 湖南文艺出版社	2012	29.80元	7.8	53784
陪安东尼度过漫长岁月	安东尼		 长江文艺出版社	2008	18.00	8.3	42887
沉默的大多数                                   : 王小波杂文随笔全编	王小波		 中国青年出版社	1997	27.00元	9.1	43325
白鹿原	陈忠实		 人民文学出版社	1997	28.00元	8.6	45343
芒果街上的小屋	[美国] 桑德拉·希斯内罗丝	 潘帕	 译林出版社	2006	24.50元	7.8	44640
羊脂球	（法）莫泊桑	 柳鸣九	 北京燕山出版社	2007	13.50元	8.1	44374
鲁滨逊漂流记	[英] 笛福	 马静	 广西民族出版社	2002	9.20元	8.0	45420
